Sample	Season	Year	Type	Horizon	Needle	TreeSpecies	Snowmelt	Location	Date	Elevation
A3.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	b_Two	NO
C10.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Subalpine	b_Two	NO
C4.10.14.17	Late	a_2017	Control	Top	Control	Control	Regular	Lower Montane	b_Two	NO
E10.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	b_Two	NO
E12.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	b_Two	NO
F4.10.14.17	Late	a_2017	Control	Top	Control	Control	Induced	Lower Subalpine	b_Two	NO
F8.10.14.17	Late	a_2017	Control	Bot	Control	Control	Induced	Lower Subalpine	b_Two	NO
G7.10.14.17	Late	a_2017	Needle	Bot	Green	Spruce	Regular	Upper Subalpine	b_Two	NO
LM.C1.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Lower Montane	c_Three	LM
LM.C1.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Lower Montane	a_One	LM
LM.C2.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Lower Montane	c_Three	LM
LM.C2.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Lower Montane	a_One	LM
LM.C2.10.14.17	Late	a_2017	Control	Top	Control	Control	Regular	Lower Montane	b_Two	LM
LM.C3.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Lower Montane	c_Three	LM
LM.C3.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Lower Montane	a_One	LM
LM.C3.10.14.17	Late	a_2017	Control	Top	Control	Control	Regular	Lower Montane	b_Two	LM
LM.C4.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Lower Montane	a_One	LM
LM.C4B.10.14.17	Late	a_2017	Control	Bot	Control	Control	Regular	Lower Montane	b_Two	LM
LM.G1.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Lower Montane	a_One	LM
LM.G1B.10.14.17	Late	a_2017	Needle	Bot	Green	Spruce	Regular	Lower Montane	b_Two	LM
LM.G1T.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Regular	Lower Montane	b_Two	LM
LM.G2.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	c_Three	LM
LM.G2.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Lower Montane	a_One	LM
LM.G2.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Regular	Lower Montane	b_Two	LM
LM.G3.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	c_Three	LM
LM.G3.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Lower Montane	a_One	LM
LM.G4.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	c_Three	LM
LM.G4.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Lower Montane	a_One	LM
LM.G4.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Regular	Lower Montane	b_Two	LM
