Date,Sample,CO2_mol/m^2*day^-1,CO2_mgC/day,CH4_mol/m^2*day^-1,CH4_mgC/day,N2O_mol/m^2*day^-1,NH3_mol/m^2*day^-1,H2O_mol/m^2*day^-1
06_27_17,RedSpruce,3.37E-06,3.50E+03,-6.79E-10,-7.05E-01,-7.19E-11,1.42E-10,3.47E-04
06_27_17,RedSpruce,2.86E-06,2.97E+03,-1.00E-09,-1.04E+00,-1.06E-10,2.29E-10,4.20E-04
06_27_17,RedSpruce,2.72E-06,2.82E+03,-7.14E-10,-7.41E-01,-7.95E-10,1.51E-10,4.01E-04
06_27_17,RedSpruce,2.48E-06,2.57E+03,-8.81E-10,-9.14E-01,3.85E-12,1.57E-10,4.02E-04
06_27_17,GreenSpruce,2.81E-06,2.92E+03,-1.13E-09,-1.17E+00,2.39E-11,7.73E-11,2.71E-04
06_27_17,GreenSpruce,2.89E-06,3.00E+03,-8.07E-10,-8.37E-01,-2.11E-10,9.64E-11,2.31E-04
06_27_17,GreenSpruce,2.21E-06,2.29E+03,-9.55E-10,-9.91E-01,-1.17E-08,8.69E-11,2.48E-04
06_27_17,GreenSpruce,3.24E-06,3.36E+03,-9.09E-10,-9.43E-01,-1.34E-10,5.11E-11,1.86E-04
06_27_17,Control,2.78E-06,2.88E+03,-1.45E-09,-1.50E+00,-7.66E-12,5.60E-11,2.85E-05
06_27_17,Control,2.48E-06,2.57E+03,-1.15E-09,-1.19E+00,-4.42E-11,1.27E-11,3.55E-05
06_27_17,Control,1.91E-06,1.98E+03,-1.17E-09,-1.21E+00,-9.51E-11,7.47E-11,2.21E-04
06_27_17,Control,2.86E-06,2.97E+03,-1.16E-09,-1.20E+00,-9.16E-11,1.50E-11,1.99E-04
06_27_17,Lodgepole,2.47E-06,2.56E+03,-7.89E-10,-8.19E-01,-8.58E-10,6.54E-11,1.86E-04
06_27_17,Lodgepole,2.65E-06,2.75E+03,-1.14E-09,-1.18E+00,-1.17E-09,7.09E-11,1.26E-04
06_27_17,Lodgepole,4.62E-06,4.79E+03,-1.31E-09,-1.36E+00,-5.32E-11,4.16E-11,1.96E-04
06_27_17,Lodgepole,2.79E-06,2.90E+03,-7.95E-10,-8.25E-01,1.88E-10,5.11E-11,1.65E-04
08_03_17,Lodgepole,5.04E-06,5.23E+03,-1.41E-09,-1.46E+00,-2.36E-10,-1.47E-14,4.32E-06
08_03_17,Lodgepole,6.60E-06,6.85E+03,-1.34E-09,-1.39E+00,8.23E-11,7.17E-12,-1.41E-05
08_03_17,Lodgepole,4.54E-06,4.71E+03,-8.17E-10,-8.48E-01,8.97E-11,-3.07E-11,-3.87E-05
08_03_17,GreenSpruce,5.18E-06,5.38E+03,-1.10E-09,-1.14E+00,-4.08E-10,2.33E-11,nan
08_03_17,GreenSpruce,4.70E-06,4.88E+03,-1.04E-09,-1.08E+00,5.24E-11,1.31E-11,7.81E-06
08_03_17,GreenSpruce,5.71E-06,5.93E+03,-1.03E-09,-1.07E+00,1.70E-09,2.36E-12,5.41E-06
08_03_17,Control,2.65E-06,2.75E+03,-1.23E-09,-1.28E+00,-2.41E-11,-1.61E-12,-8.26E-06
08_03_17,Control,2.94E-06,3.05E+03,-9.77E-10,-1.01E+00,4.34E-11,-1.34E-12,1.46E-06
08_03_17,Control,3.65E-06,3.79E+03,-1.05E-09,-1.09E+00,2.14E-11,6.98E-12,-4.47E-06
08_03_17,RedSpruce,4.43E-06,4.60E+03,-1.02E-09,-1.06E+00,1.71E-09,-2.27E-12,-2.41E-06
08_03_17,RedSpruce,4.00E-06,4.15E+03,-9.18E-10,-9.53E-01,-1.01E-09,1.19E-12,7.19E-06
08_03_17,RedSpruce,3.46E-06,3.59E+03,-8.18E-10,-8.49E-01,7.34E-09,8.46E-12,1.07E-05
08_21_17,Lodgepole,1.52E-06,1.58E+03,-5.41E-10,-5.61E-01,-1.85E-10,-2.45E-12,2.90E-05
08_21_17,Lodgepole,1.66E-06,1.72E+03,-4.62E-10,-4.79E-01,-5.03E-09,3.50E-11,1.39E-04
08_21_17,Lodgepole,2.31E-06,2.40E+03,-7.41E-10,-7.69E-01,5.32E-10,-6.46E-12,-1.42E-06
08_21_17,Lodgepole,1.77E-06,1.84E+03,-6.29E-10,-6.53E-01,4.02E-10,-1.89E-12,-1.00E-05
08_21_17,Lodgepole,1.12E-06,1.16E+03,-5.48E-10,-5.69E-01,-8.13E-11,1.75E-12,-1.77E-06
08_21_17,RedSpruce,1.23E-06,1.28E+03,-4.38E-10,-4.55E-01,7.81E-11,-2.43E-12,-1.05E-06
08_21_17,RedSpruce,1.53E-06,1.59E+03,-7.93E-10,-8.23E-01,-6.20E-10,-1.12E-12,-1.85E-05
08_21_17,RedSpruce,1.76E-06,1.83E+03,-1.07E-09,-1.11E+00,-6.62E-10,8.78E-12,-6.07E-07
08_21_17,Control,1.15E-06,1.19E+03,-8.14E-10,-8.45E-01,-5.44E-11,nan,7.51E-06
08_21_17,Control,1.08E-06,1.12E+03,-7.16E-10,-7.43E-01,-6.81E-11,2.19E-11,5.21E-05
08_21_17,Control,1.10E-06,1.14E+03,-8.59E-10,-8.91E-01,-7.58E-11,-1.18E-11,7.46E-06
08_21_17,Control,2.78E-06,2.88E+03,-2.25E-09,-2.33E+00,1.41E-10,4.94E-11,1.03E-05
08_21_17,GreenSpruce,1.58E-06,1.64E+03,-5.41E-10,-5.61E-01,1.99E-11,2.20E-12,-1.05E-05
08_21_17,GreenSpruce,1.64E-06,1.70E+03,-6.08E-10,-6.31E-01,-2.40E-08,-5.55E-12,3.83E-07
08_21_17,GreenSpruce,7.10E-07,7.37E+02,-5.50E-10,-5.71E-01,1.34E-11,1.24E-10,-1.81E-05
08_21_17,GreenSpruce,2.10E-06,2.18E+03,-7.55E-10,-7.84E-01,6.65E-10,1.25E-11,6.82E-05
09_14_17,GreenSpruce,1.28E-06,1.33E+03,-7.19E-10,-7.46E-01,-7.27E-11,-3.95E-12,2.56E-04
09_14_17,GreenSpruce,1.19E-06,1.23E+03,-7.24E-10,-7.51E-01,-5.71E-09,7.60E-11,5.52E-04
09_14_17,GreenSpruce,1.20E-06,1.25E+03,-1.08E-09,-1.12E+00,-5.87E-10,9.90E-12,6.91E-05
09_14_17,Lodgepole,1.94E-06,2.01E+03,-9.72E-10,-1.01E+00,nan,8.99E-12,9.32E-05
09_14_17,Lodgepole,1.26E-06,1.31E+03,-5.28E-10,-5.48E-01,-6.30E-10,7.74E-11,3.56E-04
09_14_17,Lodgepole,1.45E-06,1.50E+03,-5.41E-10,-5.61E-01,-3.85E-12,1.56E-11,8.12E-05
09_14_17,RedSpruce,9.37E-07,9.72E+02,-5.64E-10,-5.85E-01,1.31E-10,8.90E-11,8.23E-05
09_14_17,RedSpruce,1.23E-06,1.28E+03,-5.68E-10,-5.89E-01,-2.42E-10,5.93E-11,2.68E-04
09_14_17,RedSpruce,1.69E-06,1.75E+03,-1.16E-09,-1.20E+00,2.03E-11,7.54E-12,6.62E-05
09_14_17,Control,1.67E-06,1.73E+03,-1.18E-09,-1.22E+00,5.67E-11,2.61E-11,2.39E-04
09_14_17,Control,1.06E-06,1.10E+03,-8.34E-10,-8.65E-01,-7.21E-10,9.32E-11,4.01E-04
09_14_17,Control,1.12E-06,1.16E+03,-8.95E-10,-9.29E-01,-1.71E-10,3.59E-11,1.21E-04
10_12_17,Lodgepole,1.59E-06,1.65E+03,-2.43E-10,-2.52E-01,-1.77E-09,3.72E-12,1.94E-05
10_12_17,Lodgepole,2.14E-06,2.22E+03,-4.19E-10,-4.35E-01,8.06E-12,4.77E-11,2.44E-04
10_12_17,Lodgepole,1.83E-06,1.90E+03,-2.28E-10,-2.37E-01,-1.36E-10,7.20E-11,1.29E-04
10_12_17,Lodgepole,1.97E-06,2.04E+03,-1.66E-10,-1.72E-01,-2.98E-11,5.64E-11,2.22E-04
10_12_17,RedSpruce,2.01E-06,2.09E+03,-4.49E-10,-4.66E-01,-2.47E-10,3.36E-11,2.13E-04
10_12_17,RedSpruce,1.36E-06,1.41E+03,-1.74E-10,-1.81E-01,1.12E-10,1.42E-10,3.70E-04
10_12_17,RedSpruce,1.83E-06,1.90E+03,-4.57E-10,-4.74E-01,-6.42E-10,5.89E-11,2.63E-04
10_12_17,RedSpruce,1.23E-06,1.28E+03,-2.63E-10,-2.73E-01,-8.87E-11,1.49E-11,1.62E-04
10_12_17,GreenSpruce,2.02E-06,2.10E+03,-4.36E-10,-4.52E-01,-1.71E-09,4.96E-11,2.75E-04
10_12_17,GreenSpruce,1.98E-06,2.05E+03,-3.41E-10,-3.54E-01,-1.11E-10,1.69E-10,3.12E-04
10_12_17,GreenSpruce,2.32E-06,2.41E+03,-3.69E-10,-3.83E-01,-5.49E-11,8.72E-11,4.59E-04
10_12_17,GreenSpruce,1.68E-06,1.74E+03,-1.80E-10,-1.87E-01,-3.06E-10,1.27E-10,3.31E-04
10_12_17,Control,7.24E-07,7.51E+02,-2.81E-10,-2.92E-01,-1.90E-10,1.10E-10,6.61E-04
10_12_17,Control,1.11E-06,1.15E+03,-4.70E-10,-4.88E-01,-2.95E-09,7.85E-11,3.13E-04
10_12_17,Control,1.06E-06,1.10E+03,-7.30E-10,-7.58E-01,1.64E-10,5.69E-11,4.16E-04
10_12_17,Control,7.15E-07,7.42E+02,-2.95E-10,-3.06E-01,-6.00E-11,1.23E-10,7.24E-04
06_13_18,Lodgepole,1.18E-06,1.22E+03,-7.54E-10,-7.82E-01,2.69E-09,5.08E-11,1.44E-05
06_13_18,Lodgepole,1.90E-06,1.97E+03,-1.01E-09,-1.05E+00,5.80E-11,9.00E-11,0.000299002
06_13_18,Lodgepole,1.29E-06,1.34E+03,-1.12E-09,-1.16E+00,-2.34E-10,7.90E-11,0.000175262
06_13_18,GreenSpruce,1.74E-06,1.81E+03,-6.08E-10,-6.31E-01,-9.01E-11,6.90E-11,0.000219945
06_13_18,GreenSpruce,1.62E-06,1.68E+03,-9.94E-10,-1.03E+00,-6.85E-11,-2.86E-12,0.000200199
06_13_18,GreenSpruce,2.04E-06,2.12E+03,-1.10E-09,-1.14E+00,9.60E-11,5.30E-11,9.34E-05
06_13_18,RedSpruce,1.61E-06,1.67E+03,-3.87E-10,-4.02E-01,3.93E-11,1.63E-10,0.000288805
06_13_18,RedSpruce,1.50E-06,1.56E+03,-9.55E-10,-9.91E-01,-6.91E-11,4.02E-10,0.00028746
06_13_18,RedSpruce,1.48E-06,1.54E+03,-5.48E-10,-5.69E-01,2.10E-10,1.03E-10,0.000175791
06_13_18,Control,1.17E-06,1.21E+03,-7.07E-10,-7.34E-01,5.16E-09,9.93E-11,0.00015659
06_13_18,Control,1.10E-06,1.14E+03,-1.02E-09,-1.06E+00,8.20E-10,1.51E-10,0.000154889
06_13_18,Control,1.24E-06,1.29E+03,-7.08E-10,-7.35E-01,-3.56E-10,8.70E-11,0.000170088
06_13_18,ShadeControl,1.25E-06,1.30E+03,-4.78E-10,-4.96E-01,-1.06E-10,1.27E-10,0.000422669
06_13_18,ShadeControl,7.91E-07,8.21E+02,-4.87E-10,-5.05E-01,1.86E-09,1.15E-10,0.000250494
06_13_18,ShadeControl,5.91E-07,6.13E+02,-4.11E-10,-4.27E-01,-1.91E-10,3.50E-11,8.93E-05
06_21_18,Lodgepole,2.78E-06,2.88E+03,-8.38E-10,-8.70E-01,9.95E-10,2.13E-11,0.000124807
06_21_18,Lodgepole,4.42E-06,4.59E+03,-1.00E-09,-1.04E+00,-1.60E-09,4.85E-11,0.000176966
06_21_18,Lodgepole,2.69E-06,2.79E+03,-8.58E-10,-8.90E-01,-1.19E-10,1.56E-11,0.000177927
06_21_18,GreenSpruce,2.50E-06,2.59E+03,-6.45E-10,-6.69E-01,-4.15E-09,-1.01E-10,-0.000153887
06_21_18,GreenSpruce,2.05E-06,2.13E+03,-7.59E-10,-7.88E-01,3.09E-10,1.16E-11,8.16E-05
06_21_18,GreenSpruce,1.75E-06,1.82E+03,-1.10E-09,-1.14E+00,9.44E-11,1.20E-10,5.68E-05
06_21_18,RedSpruce,2.78E-06,2.88E+03,-4.87E-10,-5.05E-01,-2.08E-09,1.20E-11,0.000221613
06_21_18,RedSpruce,2.45E-06,2.54E+03,-6.14E-10,-6.37E-01,-2.50E-09,3.47E-11,0.00013656
06_21_18,RedSpruce,2.80E-06,2.91E+03,-3.72E-10,-3.86E-01,-2.80E-09,2.36E-11,0.000150532
06_21_18,Control,1.77E-06,1.84E+03,-6.16E-10,-6.39E-01,-1.48E-10,4.69E-11,0.000329287
06_21_18,Control,1.91E-06,1.98E+03,-8.65E-10,-8.98E-01,-3.05E-10,1.81E-11,0.00016537
06_21_18,Control,1.73E-06,1.80E+03,-5.96E-10,-6.18E-01,4.48E-11,8.95E-11,0.000271475
06_21_18,ShadeControl,1.46E-06,1.52E+03,-4.37E-10,-4.53E-01,-1.28E-09,6.53E-11,0.00035233
06_21_18,ShadeControl,8.52E-07,8.84E+02,-2.23E-10,-2.31E-01,-1.27E-09,7.50E-11,0.000339979
06_21_18,ShadeControl,8.11E-07,8.42E+02,-2.99E-10,-3.10E-01,-1.56E-09,3.32E-11,0.000194966
07_25_18,Lodgepole,1.66E-06,1.72E+03,-1.25E-09,-1.30E+00,1.31E-09,1.43E-10,0.000124641
07_25_18,Lodgepole,1.08E-06,1.12E+03,-1.22E-09,-1.27E+00,4.81E-11,-9.05E-11,-0.000130473
07_25_18,Lodgepole,1.54E-06,1.60E+03,-1.57E-09,-1.63E+00,-4.15E-12,6.49E-11,0.000236965
07_25_18,RedSpruce,1.12E-06,1.16E+03,-8.42E-10,-8.74E-01,-8.16E-10,3.58E-10,0.000470739
07_25_18,RedSpruce,6.91E-07,7.17E+02,-1.06E-09,-1.10E+00,1.11E-09,5.44E-11,5.00E-05
07_25_18,RedSpruce,1.29E-06,1.34E+03,-1.17E-09,-1.21E+00,-7.41E-10,5.95E-11,0.000111466
07_25_18,Control,5.65E-07,5.86E+02,-1.13E-09,-1.17E+00,-7.06E-11,1.06E-10,0.000184087
07_25_18,Control,8.68E-07,9.01E+02,-1.74E-09,-1.81E+00,1.54E-10,-2.72E-11,4.56E-05
07_25_18,Control,1.37E-06,1.42E+03,-1.14E-09,-1.18E+00,-1.17E-10,8.23E-11,0.000394954
07_25_18,ShadeControl,8.52E-07,8.84E+02,-7.02E-10,-7.29E-01,1.40E-10,8.82E-11,0.000130891
07_25_18,ShadeControl,4.28E-07,4.44E+02,-4.60E-10,-4.77E-01,-1.31E-10,4.65E-11,7.44E-05
07_25_18,ShadeControl,7.97E-07,8.27E+02,-9.18E-10,-9.53E-01,-3.99E-10,7.82E-11,0.000114629
07_25_18,GreenSpruce,6.78E-07,7.04E+02,-1.09E-09,-1.13E+00,-2.15E-10,3.72E-12,3.21E-05
07_25_18,GreenSpruce,8.31E-07,8.62E+02,-1.37E-09,-1.42E+00,1.06E-10,-9.75E-12,5.70E-06
07_25_18,GreenSpruce,1.54E-06,1.60E+03,-9.82E-10,-1.02E+00,-1.62E-10,6.31E-11,0.000204744
08_13_18,RedSpruce,6.94E-07,7.20E+02,-1.13E-09,-1.17E+00,-6.94E-10,2.92E-12,1.74E-05
08_13_18,RedSpruce,4.84E-07,5.02E+02,-1.02E-09,-1.06E+00,-1.52E-10,-1.65E-10,-2.29E-05
08_13_18,RedSpruce,8.53E-07,8.85E+02,-8.46E-10,-8.78E-01,-7.09E-10,1.13E-10,2.89E-05
08_13_18,ShadeControl,5.37E-07,5.57E+02,-9.02E-10,-9.36E-01,6.98E-11,8.92E-11,9.85E-05
08_13_18,ShadeControl,5.43E-07,5.63E+02,-1.06E-09,-1.10E+00,-1.03E-10,6.21E-11,8.03E-05
08_13_18,ShadeControl,6.54E-07,6.79E+02,-1.13E-09,-1.17E+00,9.65E-11,5.19E-12,2.48E-05
08_13_18,Control,4.76E-07,4.94E+02,-8.14E-10,-8.45E-01,-2.31E-10,-1.93E-11,4.10E-06
08_13_18,Control,5.87E-07,6.09E+02,-1.52E-09,-1.58E+00,-2.14E-10,1.32E-12,5.86E-06
08_13_18,Control,6.76E-07,7.02E+02,-1.06E-09,-1.10E+00,-1.60E-10,6.95E-12,5.71E-05
08_13_18,Lodgepole,1.67E-06,1.73E+03,-2.23E-09,-2.31E+00,3.96E-10,1.21E-11,4.89E-05
08_13_18,Lodgepole,4.92E-07,5.11E+02,-6.95E-10,-7.21E-01,-6.02E-09,-1.43E-11,-7.55E-06
08_13_18,Lodgepole,5.73E-07,5.95E+02,-1.11E-09,-1.15E+00,8.15E-11,2.65E-11,4.81E-05
08_13_18,GreenSpruce,9.47E-07,9.83E+02,-1.22E-09,-1.27E+00,1.04E-10,1.69E-12,4.18E-05
08_13_18,GreenSpruce,4.81E-07,4.99E+02,-1.12E-09,-1.16E+00,1.88E-10,9.64E-12,1.21E-05
08_13_18,GreenSpruce,6.40E-07,6.64E+02,-6.22E-10,-6.45E-01,-2.44E-11,-2.65E-11,-6.04E-05
09_14_18,Control,1.66E-06,1.72E+03,-1.92E-09,-1.99E+00,-2.07E-09,6.52E-12,6.22E-05
09_14_18,Control,1.08E-06,1.12E+03,-1.13E-09,-1.17E+00,-1.22E-10,4.89E-12,7.83E-05
09_14_18,Control,1.10E-06,1.14E+03,-1.16E-09,-1.20E+00,-7.67E-11,2.63E-12,1.45E-05
09_14_18,ShadeControl,9.99E-07,1.04E+03,-1.01E-09,-1.05E+00,-9.14E-11,1.93E-11,0.000131298
09_14_18,ShadeControl,4.71E-07,4.89E+02,-4.55E-10,-4.72E-01,-1.46E-10,2.93E-11,0.000242819
09_14_18,ShadeControl,1.07E-06,1.11E+03,-6.06E-10,-6.29E-01,-1.42E-10,3.81E-11,0.000233174
09_14_18,RedSpruce,1.26E-06,1.31E+03,-1.02E-09,-1.06E+00,1.57E-08,7.60E-12,5.88E-05
09_14_18,RedSpruce,1.08E-06,1.12E+03,-9.36E-10,-9.71E-01,-1.77E-11,4.35E-12,6.29E-05
09_14_18,RedSpruce,9.70E-07,1.01E+03,nan,#VALUE!,nan,7.60E-11,0.000136268
09_14_18,GreenSpruce,8.55E-07,8.87E+02,-1.14E-09,-1.18E+00,2.54E-09,nan,7.28E-05
09_14_18,GreenSpruce,1.17E-06,1.21E+03,-8.94E-10,-9.28E-01,9.18E-12,3.38E-11,3.47E-05
09_14_18,GreenSpruce,1.74E-06,1.81E+03,-1.57E-09,-1.63E+00,-5.18E-09,nan,2.81E-05
09_14_18,Lodgepole,1.27E-06,1.32E+03,-1.39E-09,-1.44E+00,4.21E-09,8.29E-12,7.63E-05
09_14_18,Lodgepole,1.82E-06,1.89E+03,-1.53E-09,-1.59E+00,-2.16E-09,4.62E-11,8.70E-05
09_14_18,Lodgepole,1.38E-06,1.43E+03,-9.95E-10,-1.03E+00,-1.30E-10,2.94E-12,9.23E-05
10_25_2018,Lodgepole,1.37E-06,1.42E+03,-7.27E-10,-7.54E-01,nan,5.98E-12,2.24E-05
10_25_2018,Lodgepole,2.14E-06,2.22E+03,-5.57E-10,-5.78E-01,-2.34E-10,-9.91E-13,2.26E-05
10_25_2018,Lodgepole,1.06E-06,1.10E+03,-6.67E-10,-6.92E-01,-2.16E-11,-8.07E-12,1.71E-05
10_25_2018,GreenSpruce,1.97E-06,2.04E+03,-8.02E-10,-8.32E-01,-1.08E-08,1.87E-12,2.44E-05
10_25_2018,GreenSpruce,2.08E-06,2.16E+03,-6.07E-10,-6.30E-01,-4.66E-12,1.36E-11,1.95E-05
10_25_2018,GreenSpruce,1.03E-06,1.07E+03,-4.86E-10,-5.04E-01,1.37E-10,4.36E-16,5.15E-05
10_25_2018,RedSpruce,1.27E-06,1.32E+03,-4.85E-10,-5.03E-01,8.75E-11,-1.39E-12,-0.000124622
10_25_2018,RedSpruce,1.13E-06,1.17E+03,-3.10E-10,-3.22E-01,1.55E-10,-1.78E-11,4.27E-06
10_25_2018,RedSpruce,1.14E-06,1.18E+03,-6.67E-10,-6.92E-01,2.25E-11,7.96E-14,5.79E-06
10_25_2018,ShadeControl,4.98E-07,5.17E+02,-2.27E-10,-2.36E-01,5.03E-09,1.19E-11,2.57E-05
10_25_2018,ShadeControl,5.39E-07,5.59E+02,-4.21E-10,-4.37E-01,5.37E-11,-2.56E-12,2.47E-05
10_25_2018,ShadeControl,5.73E-07,5.95E+02,-4.02E-10,-4.17E-01,-6.75E-11,7.44E-11,-2.39E-05
10_25_2018,Control,6.15E-07,6.38E+02,-4.38E-10,-4.55E-01,6.66E-11,-8.61E-13,1.44E-05
10_25_2018,Control,6.20E-07,6.43E+02,-3.64E-10,-3.78E-01,-2.20E-08,4.36E-12,0.000126301
10_25_2018,Control,8.93E-07,9.27E+02,-5.84E-10,-6.06E-01,-4.10E-11,1.11E-06,2.36E-05
