Soil Parameters Date,TimeDuringMeasurement,SoilTemp,SoilMoisture
6/27/17,13:00,22.5885,0.10525
6/27/17,14:00,23.4865,0.10635
6/27/17,15:00,24.123,0.1056
8/3/17,7:00,11.236,0.18625
8/3/17,8:00,11.3095,0.18625
8/3/17,9:00,11.382,0.18585
8/3/17,10:00,11.2725,0.18695
8/21/17,7:00,11.8435,0.1147
8/21/17,8:00,11.479,0.1147
8/21/17,9:00,11.856,0.1158
8/21/17,10:00,14.0465,0.1154
8/21/17,11:00,16.245,0.1147
9/14/17,12:00,14.53666667,0.13975
9/14/17,13:00,15.24333333,0.14045
9/14/17,14:00,15.925,0.13975
10/12/17,12:00,6.757777778,0.23635
10/12/17,13:00,8.338055556,0.23705
10/12/17,14:00,9.530555556,0.2374
6/13/18,9:00,13.1835,0.10635
6/13/18,10:00,16.08,0.1056
6/13/18,11:00,18.7355,0.10635
6/21/18,11:00,17.402,0.13935
6/21/18,12:00,19.7715,0.13975
6/21/18,13:00,21.5115,0.1401
6/21/18,14:00,22.527,0.1408
7/25/18,12:00,20.069,0.08745
7/25/18,13:00,21.154,0.08785
7/25/18,14:00,22.0015,0.08855
8/13/18,14:00,25.271,0.07545
8/13/18,15:00,25.8125,0.07615
8/13/18,16:00,25.699,0.0769
9/14/18,13:00,19.369,0.1085
9/14/18,14:00,20.442,0.10885
9/14/18,15:00,21.228,0.10885
9/14/18,16:00,21.249,0.10885
