Wavenumber,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs
700.0334,0,-5.60E-16,-5.20E-14,0,0,-8.30E-16,0,-1.03E-15,0
700.9977,0.002810071,0.003062683,0.001882566,0.002478928,0.002728509,0.003297475,0.001050786,0.001478847,0.001245322
701.9619,0.005814824,0.006346757,0.004130653,0.004769982,0.005258027,0.006408521,0.002446307,0.003168067,0.002564659
702.9261,0.009091778,0.009927567,0.006864359,0.006977101,0.007726775,0.009390957,0.004288338,0.00514936,0.004129068
703.8904,0.012713702,0.013890539,0.010198271,0.009224266,0.010249618,0.012314553,0.006630142,0.007467165,0.006072925
704.8546,0.01673077,0.018289481,0.014207078,0.011586635,0.012884387,0.01524837,0.009451742,0.01012885,0.008462358
705.8188,0.021168263,0.023145265,0.018870241,0.014095496,0.015633428,0.018253212,0.01269968,0.013117377,0.011314786
706.7831,0.026058577,0.02847876,0.024136884,0.016737045,0.018454506,0.021386895,0.016312736,0.016434334,0.014621419
707.7473,0.031463769,0.034329662,0.029952088,0.019498759,0.0213269,0.024730437,0.020270934,0.020133666,0.018404782
708.7115,0.037468474,0.04078541,0.036320132,0.022444492,0.024308156,0.028404415,0.024627537,0.02433061,0.022727661
709.6758,0.044176319,0.047957646,0.043325267,0.025755846,0.027581072,0.032616078,0.029472674,0.029175795,0.027692973
710.64,0.051594754,0.055902212,0.051047697,0.029660795,0.031373324,0.037565995,0.034852344,0.034743663,0.033318041
711.6042,0.059741929,0.064700492,0.059643373,0.034533838,0.036075766,0.043580965,0.040846975,0.041115914,0.039649925
712.5685,0.068491151,0.07428055,0.06912209,0.040684344,0.041990081,0.05090111,0.047399225,0.048197253,0.046564581
713.5327,0.077579195,0.084411782,0.079313105,0.048252601,0.049288754,0.059649295,0.05432225,0.055739825,0.053805297
714.4969,0.086641929,0.094715626,0.089829109,0.057164682,0.057904067,0.069724932,0.061331681,0.06338006,0.061021098
715.4612,0.095234489,0.104660197,0.100089758,0.067051046,0.067509291,0.080764423,0.068061655,0.070663094,0.067799886
716.4254,0.102839593,0.113609428,0.109358988,0.077265352,0.077478672,0.092101615,0.074090541,0.077106336,0.073726125
717.3896,0.108924526,0.120892244,0.11686066,0.086942033,0.086978086,0.102855866,0.078998143,0.082243747,0.078424383
718.3539,0.11298506,0.125885977,0.121873791,0.095152889,0.095077866,0.1120479,0.082412773,0.085678211,0.081599509
719.3181,0.114625012,0.128130074,0.123871896,0.101073711,0.100950583,0.118802361,0.084046693,0.087130219,0.08304897
720.2823,0.113646456,0.127429537,0.122657946,0.104189658,0.104040222,0.122549428,0.083770764,0.08649888,0.082699323
721.2466,0.11014351,0.123922208,0.118409958,0.10440676,0.104221724,0.123179539,0.081653763,0.083895681,0.080635959
