Wavenumber,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs
700.033,-2.45E-04,3.87E-03,1.35E-03,5.97E-04,1.65E-13,5.18E-04,6.56E-04,5.64E-04,1.43E-03
700.998,0.00E+00,2.86E-14,9.89E-15,1.68E-10,3.89E-04,-5.63E-12,7.25E-15,5.22E-16,4.11E-10
701.962,-5.88E-16,-3.59E-14,-1.32E-14,-1.96E-10,8.96E-04,6.04E-12,-7.25E-15,-5.22E-16,-5.07E-10
702.926,5.88E-16,6.30E-15,2.64E-15,2.44E-11,1.69E-03,5.74E-04,2.17E-15,2.09E-15,8.16E-11
703.89,0.00E+00,-4.36E-15,-1.32E-15,5.47E-11,2.89E-03,1.74E-03,-2.17E-15,-2.09E-15,-6.81E-11
704.855,0.00E+00,1.45E-15,6.59E-16,-2.39E-10,4.62E-03,3.57E-03,0.00E+00,5.22E-16,5.56E-11
705.819,5.88E-16,-1.45E-15,3.95E-15,1.88E-10,7.02E-03,6.18E-03,0.00E+00,1.07E-03,-1.62E-10
706.783,-1.18E-15,5.81E-15,-1.19E-14,8.69E-04,1.02E-02,9.66E-03,-5.80E-15,3.37E-03,1.88E-10
707.747,5.88E-16,-1.26E-14,7.91E-15,2.82E-03,1.41E-02,1.41E-02,6.16E-15,6.79E-03,6.33E-04
708.712,-1.76E-15,1.11E-14,1.58E-03,5.83E-03,1.89E-02,1.94E-02,7.18E-04,1.14E-02,2.04E-03
709.676,2.35E-15,1.65E-03,5.45E-03,9.89E-03,2.46E-02,2.55E-02,2.34E-03,1.74E-02,4.42E-03
710.64,0.00E+00,5.31E-03,1.18E-02,1.50E-02,3.13E-02,3.25E-02,4.98E-03,2.50E-02,8.05E-03
711.604,8.30E-04,1.10E-02,2.06E-02,2.14E-02,3.94E-02,4.08E-02,8.95E-03,3.46E-02,1.34E-02
712.568,2.50E-03,1.84E-02,3.13E-02,2.95E-02,4.94E-02,5.07E-02,1.46E-02,4.64E-02,2.09E-02
713.533,4.79E-03,2.75E-02,4.34E-02,3.94E-02,6.18E-02,6.28E-02,2.20E-02,6.05E-02,3.07E-02
714.497,7.53E-03,3.79E-02,5.61E-02,5.15E-02,7.69E-02,7.74E-02,3.13E-02,7.66E-02,4.27E-02
715.461,1.06E-02,4.91E-02,6.88E-02,6.55E-02,9.45E-02,9.43E-02,4.21E-02,9.41E-02,5.64E-02
716.425,1.39E-02,6.09E-02,8.08E-02,8.08E-02,1.14E-01,1.13E-01,5.35E-02,1.12E-01,7.10E-02
717.39,1.72E-02,7.29E-02,9.19E-02,9.63E-02,1.33E-01,1.31E-01,6.48E-02,1.30E-01,8.55E-02
718.354,2.03E-02,8.52E-02,1.02E-01,1.10E-01,1.51E-01,1.48E-01,7.47E-02,1.46E-01,9.84E-02
719.318,2.30E-02,9.74E-02,1.09E-01,1.22E-01,1.65E-01,1.61E-01,8.24E-02,1.59E-01,1.09E-01
720.282,2.49E-02,1.09E-01,1.15E-01,1.29E-01,1.75E-01,1.70E-01,8.71E-02,1.69E-01,1.16E-01
721.247,2.59E-02,1.21E-01,1.19E-01,1.32E-01,1.79E-01,1.73E-01,8.88E-02,1.74E-01,1.19E-01
722.211,2.59E-02,1.31E-01,1.20E-01,1.30E-01,1.78E-01,1.72E-01,8.75E-02,1.75E-01,1.18E-01
723.175,2.49E-02,1.40E-01,1.19E-01,1.25E-01,1.73E-01,1.68E-01,8.39E-02,1.72E-01,1.14E-01
724.139,2.34E-02,1.48E-01,1.17E-01,1.17E-01,1.66E-01,1.61E-01,7.89E-02,1.67E-01,1.09E-01
725.104,2.14E-02,1.55E-01,1.14E-01,1.08E-01,1.57E-01,1.54E-01,7.33E-02,1.61E-01,1.03E-01
726.068,1.93E-02,1.60E-01,1.12E-01,9.95E-02,1.49E-01,1.48E-01,6.77E-02,1.55E-01,9.72E-02
727.032,1.73E-02,1.65E-01,1.09E-01,9.10E-02,1.42E-01,1.42E-01,6.25E-02,1.50E-01,9.16E-02
727.996,1.51E-02,1.70E-01,1.05E-01,8.29E-02,1.35E-01,1.37E-01,5.76E-02,1.44E-01,8.61E-02
728.96,1.29E-02,1.74E-01,1.01E-01,7.51E-02,1.28E-01,1.31E-01,5.26E-02,1.39E-01,8.01E-02
729.925,1.04E-02,1.80E-01,9.46E-02,6.72E-02,1.21E-01,1.24E-01,4.73E-02,1.31E-01,7.27E-02
